"controlId","controlFamily","controlName","policyId","policyName","policyEffect","currentProdEffect","currentNonprodEffect","implementationStatus","enforcementScope"
"SC-7","SC","Boundary Protection","ca610c1d-041c-4332-9d88-7ed3094967c7","App Configuration should use private link","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SC-7(3)","SC","Boundary Protection","ca610c1d-041c-4332-9d88-7ed3094967c7","App Configuration should use private link","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AC-17","AC","Remote Access","af35e2a4-ef96-44e7-a9ae-853dd97032c4","Azure Spring Cloud should use network injection","Deny","{""evaluatedSkuNames-af35e2a4-ef96-44e7-a9ae-853dd97032c4"":[""Standard""]}","{""evaluatedSkuNames-af35e2a4-ef96-44e7-a9ae-853dd97032c4"":[""Standard""]}","Implemented","Both"
"AC-17(1)","AC","Remote Access","af35e2a4-ef96-44e7-a9ae-853dd97032c4","Azure Spring Cloud should use network injection","Deny","{""evaluatedSkuNames-af35e2a4-ef96-44e7-a9ae-853dd97032c4"":[""Standard""]}","{""evaluatedSkuNames-af35e2a4-ef96-44e7-a9ae-853dd97032c4"":[""Standard""]}","Implemented","Both"
"CM-6","CM","Configuration Settings","eaebaea7-8013-4ceb-9d14-7eb32271373c","[Deprecated]: Function apps should have 'Client Certificates (Incoming client certificates)' enabled","Audit","Audit","Audit","Planned","Both"
"CM-6","CM","Configuration Settings","19dd1db6-f442-49cf-a838-b0786b4401ef","App Service apps should have Client Certificates (Incoming client certificates) enabled","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AC-17","AC","Remote Access","cb510bfd-1cba-4d9f-a230-cb0976f4bb71","App Service apps should have remote debugging turned off","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AC-17(1)","AC","Remote Access","cb510bfd-1cba-4d9f-a230-cb0976f4bb71","App Service apps should have remote debugging turned off","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"CM-6","CM","Configuration Settings","cb510bfd-1cba-4d9f-a230-cb0976f4bb71","App Service apps should have remote debugging turned off","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AU-6(4)","AU","Audit Record Review, Analysis, and Reporting","91a78b24-f231-4a8a-8da9-02c35b2b6510","App Service apps should have resource logs enabled","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AU-6(5)","AU","Audit Record Review, Analysis, and Reporting","91a78b24-f231-4a8a-8da9-02c35b2b6510","App Service apps should have resource logs enabled","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AU-12","AU","Audit Record Generation","91a78b24-f231-4a8a-8da9-02c35b2b6510","App Service apps should have resource logs enabled","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AU-12(1)","AU","Audit Record Generation","91a78b24-f231-4a8a-8da9-02c35b2b6510","App Service apps should have resource logs enabled","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AC-4","AC","Information Flow Enforcement","5744710e-cc2f-4ee8-8809-3b11e89f4bc9","App Service apps should not have CORS configured to allow every resource to access your apps","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"CM-6","CM","Configuration Settings","5744710e-cc2f-4ee8-8809-3b11e89f4bc9","App Service apps should not have CORS configured to allow every resource to access your apps","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SC-8","SC","Transmission Confidentiality and Integrity","a4af4a39-4135-47fb-b175-47fbdf85311d","App Service apps should only be accessible over HTTPS","Deny","Audit","Audit","Implemented","Both"
"SC-8(1)","SC","Transmission Confidentiality and Integrity","a4af4a39-4135-47fb-b175-47fbdf85311d","App Service apps should only be accessible over HTTPS","Deny","Audit","Audit","Implemented","Both"
"SC-8","SC","Transmission Confidentiality and Integrity","4d24b6d4-5e53-4a4f-a7f4-618fa573ee4b","App Service apps should require FTPS only","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SC-8(1)","SC","Transmission Confidentiality and Integrity","4d24b6d4-5e53-4a4f-a7f4-618fa573ee4b","App Service apps should require FTPS only","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SI-2","SI","Flaw Remediation","8c122334-9d20-4eb8-89ea-ac9a705b74ae","App Service apps should use latest 'HTTP Version'","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SI-2(6)","SI","Flaw Remediation","8c122334-9d20-4eb8-89ea-ac9a705b74ae","App Service apps should use latest 'HTTP Version'","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AC-2","AC","Account Management","2b9ad585-36bc-4615-b300-fd4435808332","App Service apps should use managed identity","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AC-3","AC","Access Enforcement","2b9ad585-36bc-4615-b300-fd4435808332","App Service apps should use managed identity","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"IA-2","IA","Identification and Authentication (Organizational Users)","2b9ad585-36bc-4615-b300-fd4435808332","App Service apps should use managed identity","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"IA-4","IA","Identifier Management","2b9ad585-36bc-4615-b300-fd4435808332","App Service apps should use managed identity","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SC-8","SC","Transmission Confidentiality and Integrity","f0e6e85b-9b9f-4a4b-b67b-f730d42f1b0b","App Service apps should use the latest TLS version","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SC-8(1)","SC","Transmission Confidentiality and Integrity","f0e6e85b-9b9f-4a4b-b67b-f730d42f1b0b","App Service apps should use the latest TLS version","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SC-28","SC","Protection of Information at Rest","fb74e86f-d351-4b8d-b034-93da7391c01f","App Service Environment should have internal encryption enabled","Audit","Audit","Audit","Planned","Both"
"SC-28(1)","SC","Protection of Information at Rest","fb74e86f-d351-4b8d-b034-93da7391c01f","App Service Environment should have internal encryption enabled","Audit","Audit","Audit","Planned","Both"
"AC-17","AC","Remote Access","0e60b895-3786-45da-8377-9c6b4b6ac5f9","Function apps should have remote debugging turned off","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AC-17(1)","AC","Remote Access","0e60b895-3786-45da-8377-9c6b4b6ac5f9","Function apps should have remote debugging turned off","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"CM-6","CM","Configuration Settings","0e60b895-3786-45da-8377-9c6b4b6ac5f9","Function apps should have remote debugging turned off","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"CM-6","CM","Configuration Settings","0820b7b9-23aa-4725-a1ce-ae4558f718e5","Function apps should not have CORS configured to allow every resource to access your apps","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SC-8","SC","Transmission Confidentiality and Integrity","6d555dd1-86f2-4f1c-8ed7-5abae7c6cbab","Function apps should only be accessible over HTTPS","Deny","Audit","Audit","Implemented","Both"
"SC-8(1)","SC","Transmission Confidentiality and Integrity","6d555dd1-86f2-4f1c-8ed7-5abae7c6cbab","Function apps should only be accessible over HTTPS","Deny","Audit","Audit","Implemented","Both"
"SC-8","SC","Transmission Confidentiality and Integrity","399b2637-a50f-4f95-96f8-3a145476eb15","Function apps should require FTPS only","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SC-8(1)","SC","Transmission Confidentiality and Integrity","399b2637-a50f-4f95-96f8-3a145476eb15","Function apps should require FTPS only","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SI-2","SI","Flaw Remediation","e2c1c086-2d84-4019-bff3-c44ccd95113c","Function apps should use latest 'HTTP Version'","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SI-2(6)","SI","Flaw Remediation","e2c1c086-2d84-4019-bff3-c44ccd95113c","Function apps should use latest 'HTTP Version'","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AC-2","AC","Account Management","0da106f2-4ca3-48e8-bc85-c638fe6aea8f","Function apps should use managed identity","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AC-3","AC","Access Enforcement","0da106f2-4ca3-48e8-bc85-c638fe6aea8f","Function apps should use managed identity","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"IA-2","IA","Identification and Authentication (Organizational Users)","0da106f2-4ca3-48e8-bc85-c638fe6aea8f","Function apps should use managed identity","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"IA-4","IA","Identifier Management","0da106f2-4ca3-48e8-bc85-c638fe6aea8f","Function apps should use managed identity","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SC-8","SC","Transmission Confidentiality and Integrity","f9d614c5-c173-4d56-95a7-b4437057d193","Function apps should use the latest TLS version","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SC-8(1)","SC","Transmission Confidentiality and Integrity","f9d614c5-c173-4d56-95a7-b4437057d193","Function apps should use the latest TLS version","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SC-28","SC","Protection of Information at Rest","3657f5a0-770e-44a3-b44e-9431ba1e9735","Automation account variables should be encrypted","Deny","Audit","Audit","Implemented","Both"
"SC-28(1)","SC","Protection of Information at Rest","3657f5a0-770e-44a3-b44e-9431ba1e9735","Automation account variables should be encrypted","Deny","Audit","Audit","Implemented","Both"
"SC-12","SC","Cryptographic Key Establishment and Management","56a5ee18-2ae6-4810-86f7-18e39ce5629b","Azure Automation accounts should use customer-managed keys to encrypt data at rest","Deny","Audit","Audit","Implemented","Both"
"AC-2","AC","Account Management","71ef260a-8f18-47b7-abcb-62d0673d94dc","Azure AI Services resources should have key access disabled (disable local authentication)","Deny","Audit","Audit","Implemented","Both"
"AC-2(1)","AC","Account Management","71ef260a-8f18-47b7-abcb-62d0673d94dc","Azure AI Services resources should have key access disabled (disable local authentication)","Deny","Audit","Audit","Implemented","Both"
"AC-2(7)","AC","Account Management","71ef260a-8f18-47b7-abcb-62d0673d94dc","Azure AI Services resources should have key access disabled (disable local authentication)","Deny","Audit","Audit","Implemented","Both"
"AC-3","AC","Access Enforcement","71ef260a-8f18-47b7-abcb-62d0673d94dc","Azure AI Services resources should have key access disabled (disable local authentication)","Deny","Audit","Audit","Implemented","Both"
"IA-2","IA","Identification and Authentication (Organizational Users)","71ef260a-8f18-47b7-abcb-62d0673d94dc","Azure AI Services resources should have key access disabled (disable local authentication)","Deny","Audit","Audit","Implemented","Both"
"IA-4","IA","Identifier Management","71ef260a-8f18-47b7-abcb-62d0673d94dc","Azure AI Services resources should have key access disabled (disable local authentication)","Deny","Audit","Audit","Implemented","Both"
"AC-4","AC","Information Flow Enforcement","037eea7a-bd0a-46c5-9a66-03aea78705d3","Azure AI Services resources should restrict network access","Deny","Audit","Audit","Implemented","Both"
"SC-7","SC","Boundary Protection","037eea7a-bd0a-46c5-9a66-03aea78705d3","Azure AI Services resources should restrict network access","Deny","Audit","Audit","Implemented","Both"
"SC-7(3)","SC","Boundary Protection","037eea7a-bd0a-46c5-9a66-03aea78705d3","Azure AI Services resources should restrict network access","Deny","Audit","Audit","Implemented","Both"
"SC-12","SC","Cryptographic Key Establishment and Management","81e74cea-30fd-40d5-802f-d72103c2aaaa","Azure Data Explorer encryption at rest should use a customer-managed key","Deny","Audit","Audit","Implemented","Both"
"SC-28","SC","Protection of Information at Rest","f4b53539-8df9-40e4-86c6-6b607703bd4e","Disk encryption should be enabled on Azure Data Explorer","Deny","Audit","Audit","Implemented","Both"
"SC-28(1)","SC","Protection of Information at Rest","f4b53539-8df9-40e4-86c6-6b607703bd4e","Disk encryption should be enabled on Azure Data Explorer","Deny","Audit","Audit","Implemented","Both"
"SC-28","SC","Protection of Information at Rest","ec068d99-e9c7-401f-8cef-5bdde4e6ccf1","Double encryption should be enabled on Azure Data Explorer","Deny","Audit","Audit","Implemented","Both"
"SC-28(1)","SC","Protection of Information at Rest","ec068d99-e9c7-401f-8cef-5bdde4e6ccf1","Double encryption should be enabled on Azure Data Explorer","Deny","Audit","Audit","Implemented","Both"
"SC-28","SC","Protection of Information at Rest","b4ac1030-89c5-4697-8e00-28b5ba6a8811","Azure Stack Edge devices should use double-encryption","Deny","Audit","Audit","Implemented","Both"
"SC-28(1)","SC","Protection of Information at Rest","b4ac1030-89c5-4697-8e00-28b5ba6a8811","Azure Stack Edge devices should use double-encryption","Deny","Audit","Audit","Implemented","Both"
"SC-12","SC","Cryptographic Key Establishment and Management","2e94d99a-8a36-4563-bc77-810d8893b671","[Preview]: Azure Recovery Services vaults should use customer-managed keys for encrypting backup data","Deny","{""enableDoubleEncryption-2e94d99a-8a36-4563-bc77-810d8893b671"":true}","{""enableDoubleEncryption-2e94d99a-8a36-4563-bc77-810d8893b671"":true}","Implemented","Both"
"CP-9","CP","Unknown","013e242c-8828-4970-87b3-ab247555486d","Azure Backup should be enabled for Virtual Machines","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SC-12","SC","Cryptographic Key Establishment and Management","99e9ccd8-3db9-4592-b0d1-14b1715a4d8a","Azure Batch account should use customer-managed keys to encrypt data","Deny","Audit","Audit","Implemented","Both"
"AU-6(4)","AU","Audit Record Review, Analysis, and Reporting","428256e6-1fac-4f48-a757-df34c2b3336d","Resource logs in Batch accounts should be enabled","Audit","{""diagnosticsLogsInBatchAccountRetentionDays"":""1""}","{""diagnosticsLogsInBatchAccountRetentionDays"":""1""}","Planned","Both"
"AU-6(5)","AU","Audit Record Review, Analysis, and Reporting","428256e6-1fac-4f48-a757-df34c2b3336d","Resource logs in Batch accounts should be enabled","Audit","{""diagnosticsLogsInBatchAccountRetentionDays"":""1""}","{""diagnosticsLogsInBatchAccountRetentionDays"":""1""}","Planned","Both"
"AU-12","AU","Audit Record Generation","428256e6-1fac-4f48-a757-df34c2b3336d","Resource logs in Batch accounts should be enabled","Audit","{""diagnosticsLogsInBatchAccountRetentionDays"":""1""}","{""diagnosticsLogsInBatchAccountRetentionDays"":""1""}","Planned","Both"
"AU-12(1)","AU","Audit Record Generation","428256e6-1fac-4f48-a757-df34c2b3336d","Resource logs in Batch accounts should be enabled","Audit","{""diagnosticsLogsInBatchAccountRetentionDays"":""1""}","{""diagnosticsLogsInBatchAccountRetentionDays"":""1""}","Planned","Both"
"SC-12","SC","Cryptographic Key Establishment and Management","51522a96-0869-4791-82f3-981000c2c67f","Bot Service should be encrypted with a customer-managed key","Deny","Audit","Audit","Implemented","Both"
"AC-4","AC","Information Flow Enforcement","7803067c-7d34-46e3-8c79-0ca68fc4036d","Azure Cache for Redis should use private link","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AC-17","AC","Remote Access","7803067c-7d34-46e3-8c79-0ca68fc4036d","Azure Cache for Redis should use private link","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AC-17(1)","AC","Remote Access","7803067c-7d34-46e3-8c79-0ca68fc4036d","Azure Cache for Redis should use private link","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SC-7","SC","Boundary Protection","7803067c-7d34-46e3-8c79-0ca68fc4036d","Azure Cache for Redis should use private link","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SC-7(3)","SC","Boundary Protection","7803067c-7d34-46e3-8c79-0ca68fc4036d","Azure Cache for Redis should use private link","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SC-8","SC","Transmission Confidentiality and Integrity","22bee202-a82f-4305-9a2a-6d7f44d4dedb","Only secure connections to your Azure Cache for Redis should be enabled","Deny","Audit","Audit","Implemented","Both"
"SC-8(1)","SC","Transmission Confidentiality and Integrity","22bee202-a82f-4305-9a2a-6d7f44d4dedb","Only secure connections to your Azure Cache for Redis should be enabled","Deny","Audit","Audit","Implemented","Both"
"AC-4","AC","Information Flow Enforcement","0725b4dd-7e76-479c-a735-68e7ee23d5ca","Cognitive Services accounts should disable public network access","Deny","Audit","Audit","Implemented","Both"
"SC-7","SC","Boundary Protection","0725b4dd-7e76-479c-a735-68e7ee23d5ca","Cognitive Services accounts should disable public network access","Deny","Audit","Audit","Implemented","Both"
"SC-7(3)","SC","Boundary Protection","0725b4dd-7e76-479c-a735-68e7ee23d5ca","Cognitive Services accounts should disable public network access","Deny","Audit","Audit","Implemented","Both"
"SC-12","SC","Cryptographic Key Establishment and Management","67121cc7-ff39-4ab8-b7e3-95b84dab487d","Cognitive Services accounts should enable data encryption with a customer-managed key","Deny","Audit","Audit","Implemented","Both"
"AC-4","AC","Information Flow Enforcement","cddd188c-4b82-4c48-a19d-ddf74ee66a01","Cognitive Services should use private link","Audit","Audit","Audit","Planned","Both"
"AC-17","AC","Remote Access","cddd188c-4b82-4c48-a19d-ddf74ee66a01","Cognitive Services should use private link","Audit","Audit","Audit","Planned","Both"
"AC-17(1)","AC","Remote Access","cddd188c-4b82-4c48-a19d-ddf74ee66a01","Cognitive Services should use private link","Audit","Audit","Audit","Planned","Both"
"SC-7","SC","Boundary Protection","cddd188c-4b82-4c48-a19d-ddf74ee66a01","Cognitive Services should use private link","Audit","Audit","Audit","Planned","Both"
"SC-7(3)","SC","Boundary Protection","cddd188c-4b82-4c48-a19d-ddf74ee66a01","Cognitive Services should use private link","Audit","Audit","Audit","Planned","Both"
"CP-7","CP","Unknown","0015ea4d-51ff-4ce3-8d8c-f3f8f0179a56","Audit virtual machines without disaster recovery configured","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AC-4","AC","Information Flow Enforcement","f39f5f49-4abf-44de-8c70-0756997bfb51","Disk access resources should use private link","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AC-17","AC","Remote Access","f39f5f49-4abf-44de-8c70-0756997bfb51","Disk access resources should use private link","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AC-17(1)","AC","Remote Access","f39f5f49-4abf-44de-8c70-0756997bfb51","Disk access resources should use private link","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SC-7","SC","Boundary Protection","f39f5f49-4abf-44de-8c70-0756997bfb51","Disk access resources should use private link","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SC-7(3)","SC","Boundary Protection","f39f5f49-4abf-44de-8c70-0756997bfb51","Disk access resources should use private link","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"SC-12","SC","Cryptographic Key Establishment and Management","ca91455f-eace-4f96-be59-e6e2c35b4816","Managed disks should be double encrypted with both platform-managed and customer-managed keys","Deny","Audit","Audit","Implemented","Both"
"SC-12","SC","Cryptographic Key Establishment and Management","702dd420-7fcc-42c5-afe8-4026edd20fe0","OS and data disks should be encrypted with a customer-managed key","Deny","Audit","Audit","Implemented","Both"
"SC-28","SC","Protection of Information at Rest","fc4d8e41-e223-45ea-9bf5-eada37891d87","Virtual machines and virtual machine scale sets should have encryption at host enabled","Deny","Audit","Audit","Implemented","Both"
"SC-28(1)","SC","Protection of Information at Rest","fc4d8e41-e223-45ea-9bf5-eada37891d87","Virtual machines and virtual machine scale sets should have encryption at host enabled","Deny","Audit","Audit","Implemented","Both"
"AC-3","AC","Access Enforcement","1d84d5fb-01f6-4d12-ba4f-4a26081d403d","Virtual machines should be migrated to new Azure Resource Manager resources","Deny","Audit","Audit","Implemented","Both"
"SC-12","SC","Cryptographic Key Establishment and Management","0aa61e00-0a01-4a3c-9945-e93cffedf0e6","Azure Container Instance container group should use customer-managed key for encryption","Deny","Audit","Audit","Implemented","Both"
"SC-12","SC","Cryptographic Key Establishment and Management","5b9159ae-1701-4a6f-9a7a-aa9c8ddd0580","Container registries should be encrypted with a customer-managed key","Deny","Audit","Audit","Implemented","Both"
"AC-4","AC","Information Flow Enforcement","d0793b48-0edc-4296-a390-4c75d1bdfd71","Container registries should not allow unrestricted network access","Deny","Audit","Audit","Implemented","Both"
"SC-7","SC","Boundary Protection","d0793b48-0edc-4296-a390-4c75d1bdfd71","Container registries should not allow unrestricted network access","Deny","Audit","Audit","Implemented","Both"
"SC-7(3)","SC","Boundary Protection","d0793b48-0edc-4296-a390-4c75d1bdfd71","Container registries should not allow unrestricted network access","Deny","Audit","Audit","Implemented","Both"
"AC-4","AC","Information Flow Enforcement","e8eef0a8-67cf-4eb4-9386-14b0e78733d4","Container registries should use private link","Audit","Audit","Audit","Planned","Both"
"AC-17","AC","Remote Access","e8eef0a8-67cf-4eb4-9386-14b0e78733d4","Container registries should use private link","Audit","Audit","Audit","Planned","Both"
"AC-17(1)","AC","Remote Access","e8eef0a8-67cf-4eb4-9386-14b0e78733d4","Container registries should use private link","Audit","Audit","Audit","Planned","Both"
"SC-7","SC","Boundary Protection","e8eef0a8-67cf-4eb4-9386-14b0e78733d4","Container registries should use private link","Audit","Audit","Audit","Planned","Both"
"SC-7(3)","SC","Boundary Protection","e8eef0a8-67cf-4eb4-9386-14b0e78733d4","Container registries should use private link","Audit","Audit","Audit","Planned","Both"
"AC-4","AC","Information Flow Enforcement","862e97cf-49fc-4a5c-9de4-40d4e2e7c8eb","Azure Cosmos DB accounts should have firewall rules","Deny","Audit","Audit","Implemented","Both"
"SC-7","SC","Boundary Protection","862e97cf-49fc-4a5c-9de4-40d4e2e7c8eb","Azure Cosmos DB accounts should have firewall rules","Deny","Audit","Audit","Implemented","Both"
"SC-7(3)","SC","Boundary Protection","862e97cf-49fc-4a5c-9de4-40d4e2e7c8eb","Azure Cosmos DB accounts should have firewall rules","Deny","Audit","Audit","Implemented","Both"
"SC-12","SC","Cryptographic Key Establishment and Management","1f905d99-2ab7-462c-a6b0-f709acca6c8f","Azure Cosmos DB accounts should use customer-managed keys to encrypt data at rest","Deny","Audit","Audit","Implemented","Both"
"AC-4","AC","Information Flow Enforcement","58440f8a-10c5-4151-bdce-dfbaad4a20b7","CosmosDB accounts should use private link","Audit","Audit","Audit","Planned","Both"
"AC-17","AC","Remote Access","58440f8a-10c5-4151-bdce-dfbaad4a20b7","CosmosDB accounts should use private link","Audit","Audit","Audit","Planned","Both"
"AC-17(1)","AC","Remote Access","58440f8a-10c5-4151-bdce-dfbaad4a20b7","CosmosDB accounts should use private link","Audit","Audit","Audit","Planned","Both"
"SC-7","SC","Boundary Protection","58440f8a-10c5-4151-bdce-dfbaad4a20b7","CosmosDB accounts should use private link","Audit","Audit","Audit","Planned","Both"
"SC-7(3)","SC","Boundary Protection","58440f8a-10c5-4151-bdce-dfbaad4a20b7","CosmosDB accounts should use private link","Audit","Audit","Audit","Planned","Both"
"SC-28","SC","Protection of Information at Rest","c349d81b-9985-44ae-a8da-ff98d108ede8","Azure Data Box jobs should enable double encryption for data at rest on the device","Deny","{""supportedSKUs-c349d81b-9985-44ae-a8da-ff98d108ede8"":[""DataBox"",""DataBoxHeavy""]}","{""supportedSKUs-c349d81b-9985-44ae-a8da-ff98d108ede8"":[""DataBox"",""DataBoxHeavy""]}","Implemented","Both"
"SC-28(1)","SC","Protection of Information at Rest","c349d81b-9985-44ae-a8da-ff98d108ede8","Azure Data Box jobs should enable double encryption for data at rest on the device","Deny","{""supportedSKUs-c349d81b-9985-44ae-a8da-ff98d108ede8"":[""DataBox"",""DataBoxHeavy""]}","{""supportedSKUs-c349d81b-9985-44ae-a8da-ff98d108ede8"":[""DataBox"",""DataBoxHeavy""]}","Implemented","Both"
"SC-12","SC","Cryptographic Key Establishment and Management","86efb160-8de7-451d-bc08-5d475b0aadae","Azure Data Box jobs should use a customer-managed key to encrypt the device unlock password","Deny","{""supportedSKUs-86efb160-8de7-451d-bc08-5d475b0aadae"":[""DataBox"",""DataBoxHeavy""]}","{""supportedSKUs-86efb160-8de7-451d-bc08-5d475b0aadae"":[""DataBox"",""DataBoxHeavy""]}","Implemented","Both"
"SC-12","SC","Cryptographic Key Establishment and Management","4ec52d6d-beb7-40c4-9a9e-fe753254690e","Azure data factories should be encrypted with a customer-managed key","Deny","Audit","Audit","Implemented","Both"
"AC-4","AC","Information Flow Enforcement","8b0323be-cc25-4b61-935d-002c3798c6ea","Azure Data Factory should use private link","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AC-17","AC","Remote Access","8b0323be-cc25-4b61-935d-002c3798c6ea","Azure Data Factory should use private link","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AC-17(1)","AC","Remote Access","8b0323be-cc25-4b61-935d-002c3798c6ea","Azure Data Factory should use private link","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
